"Tool Index (tool_index)","Preset Name (preset_name)","Type (tool_type)","Description (tool_description)","Diameter (tool_diameter)","Number (tool_number)","Unit (tool_unit)","Holder Description (holder_description)","Holder Product ID (holder_productId)","Holder Product Link (holder_productLink)","Holder Vendor (holder_vendor)","Abrasive Flow Rate (tool_abrasiveFlowRate)","Size (tool_adaptiveItemSize)","Orientation (tool_angle)","Tool Assembly Gauge Length (tool_assemblyGaugeLength)","Assist Gas (tool_assistGas)","Axial Distance (tool_axialDistance)","Bead Width (tool_beadWidth)","Tool Block Size (tool_block_adaptiveItemSize)","Tool Block Comment (tool_block_comment)","Tool Block Description (tool_block_description)","Tool Block Half Index (tool_block_isHalfIndex)","Tool Block Live (tool_block_live)","Tool Block Connection Type (tool_block_machineSideConnectionType)","Tool Block Maximum RPM (tool_block_maximumRotationalSpeed)","Tool Block Attachment points (tool_block_numberOfAttachmentPoints)","Tool Block Number of Tools (tool_block_numberOfTools)","Tool Block Orientation (tool_block_orientationType)","Tool Block Product ID (tool_block_productId)","Tool Block Product Link (tool_block_productLink)","Tool Block Station Number (tool_block_stationNumber)","Tool Block Vendor (tool_block_vendor)","Body Length (tool_bodyLength)","Break Control (tool_breakControl)","Chamfer Angle (tool_chamferAngle)","Chamfer Width (tool_chamferWidth)","Clamping (tool_clamping)","Clockwise Spindle Rotation (tool_clockwise)","Comment (tool_comment)","Compensation (tool_compensation)","Compensation Offset (tool_compensationOffset)","Coolant (tool_coolant)","Coolant Support (tool_coolantSupport)","Corner Radius (tool_cornerRadius)","Cross Section (tool_crossSection)","Cut Height (tool_cutHeight)","Cut Power (tool_cutPower)","Cutting Width (tool_cuttingWidth)","Auxiliary Gas Flow Rate (tool_depositingAuxiliaryGasFlowRate)","Carrier Gas Flow Rate (tool_depositingCarrierGasFlowRate)","Current (tool_depositingCurrent)","Power (tool_depositingPower)","Shield Gas Flow Rate (tool_depositingShieldGasFlowRate)","Voltage (tool_depositingVoltage)","Depth of Cut (tool_depthOfCut)","Diameter Offset (tool_diameterOffset)","End Angle (tool_endAngle)","End Cutting (tool_endCutting)","Cutting Feedrate (tool_feedCutting)","Cutting Feed per Revolution (tool_feedCuttingRel)","Depositing Feedrate (tool_feedDepositing)","Lead-In Feedrate (tool_feedEntry)","Lead-In Feed per Revolution (tool_feedEntryRel)","Lead-Out Feedrate (tool_feedExit)","Lead-Out Feed per Revolution (tool_feedExitRel)","Plunge Feed per Revolution (tool_feedPerRevolution)","Feed per Tooth (tool_feedPerTooth)","Plunge Feedrate (tool_feedPlunge)","Link Feedrate (tool_feedProbeLink)","Measure Feedrate (tool_feedProbeMeasure)","Ramp Feedrate (tool_feedRamp)","Retract Feedrate (tool_feedRetract)","Retract Feed per Revolution (tool_feedRetractPerRevolution)","Transition Feedrate (tool_feedTransition)","Wire Feedrate (tool_feedWire)","Flute Length (tool_fluteLength)","Use Opposite Edge (tool_grooveCompOppositeEdge)","Groove Width (tool_grooveWidth)","Hand (tool_hand)","Head Clearance (tool_headClearance)","Head Length (tool_headLength)","Tool Holder Gauge Length (tool_holderGaugeLength)","Head Length (tool_holderHeadLength)","Overall Length (tool_holderOverallLength)","Style (tool_holderType)","Angle (tool_insertAngle)","Insert size (tool_insertSize)","Size specified by (tool_insertSizeSpecificationMode)","Shape (tool_insertType)","Width (tool_insertWidth)","Internal Thread (tool_internalThread)","Half Index (tool_isHalfIndex)","Kerf Width (tool_kerfWidth)","Layer Thickness (tool_layerThickness)","Leading Angle (tool_leadingAngle)","Trailing edge length (tool_lengthNonCuttingEdge)","Length Offset (tool_lengthOffset)","Live Tool (tool_live)","Lower Radius (tool_lowerRadius)","Quality Control (tool_machineQualityControl)","Connection Type (tool_machineSideConnectionType)","Manual Tool Change (tool_manualToolChange)","Material (tool_material)","Maximum Diameter (tool_maximumCuttingDiameter)","Maximum RPM (tool_maximumRotationalSpeed)","Maximum Thread Pitch (tool_maximumThreadPitch)","Minimum Thread Pitch (tool_minimumThreadPitch)","Nozzle Diameter (tool_nozzleDiameter)","Attachment points (tool_numberOfAttachmentPoints)","Number of Flutes (tool_numberOfFlutes)","Number of Teeth (tool_numberOfTeeth)","Number of Tools (tool_numberOfTools)","Orientation (tool_orientationType)","Overall Length (tool_overallLength)","Pierce Height (tool_pierceHeight)","Pierce Power (tool_piercePower)","Pierce Time (tool_pierceTime)","Powder Flow Rate (tool_powderFlowRate)","Filter by Type (tool_presetMaterialCategory)","Maximum hardness (tool_presetMaterialMaximumHardness)","Minimum hardness (tool_presetMaterialMinimumHardness)","Filter by Search (tool_presetMaterialQuery)","Filter by hardness (tool_presetMaterialUseHardness)","Preset Program Number (tool_presetProgram)","Pressure (tool_pressure)","Product ID (tool_productId)","Product Link (tool_productLink)","Profile Radius (tool_profileRadius)","Ramp Angle (tool_rampAngle)","Ramp Spindle Speed (tool_rampSpindleSpeed)","Relief Angle (tool_reliefAngle)","Round Shank (tool_roundShank)","Flip (tool_shaftAxisAngle)","Shaft Diameter (tool_shaftDiameter)","Shank Height (tool_shankHeight)","Shank Width (tool_shankWidth)","Shoulder Diameter (tool_shoulderDiameter)","Shoulder Length (tool_shoulderLength)","Side Angle (tool_sideAngle)","Side Cutting (tool_sideCutting)","Spindle Speed (tool_spindleSpeed)","Stand-off Distance (tool_standoffDistance)","Station Number (tool_stationNumber)","Stepdown (tool_stepdown)","Stepover (tool_stepover)","Surface Speed (tool_surfaceSpeed)","Taper Angle (tool_taperAngle)","Tapered Type (tool_taperedType)","Thickness (tool_thickness)","Thread Pitch (tool_threadPitch)","Thread Profile Angle (tool_threadProfileAngle)","Thread Tip Radius (tool_threadTipRadius)","Thread Tip Type (tool_threadTipType)","Thread Tip Width (tool_threadTipWidth)","Tip Angle (tool_tipAngle)","Tip Diameter (tool_tipDiameter)","Tip Length (tool_tipLength)","Tip Offset (tool_tipOffset)","Tolerance (tool_tolerance)","Trailing Angle (tool_trailingAngle)","Turret (tool_turret)","Upper Radius (tool_upperRadius)","Use Constant Surface Speed (tool_useConstantSurfaceSpeed)","Use Feed per Revolution (tool_useFeedPerRevolution)","Vendor (tool_vendor)","Use Depth of Cut (use_tool_depthOfCut)","Use Preset Program Number (use_tool_presetProgram)","Use Stepdown (use_tool_stepdown)","Use Stepover (use_tool_stepover)","Shaft Segments (shaft_segments)","Holder Segments (holder_segments)","Tool Library Version (tool_library_version)","CSV_TOOLS_VERSION_1"
1,17-4 PH (M) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,2.778,0.002756,,,,,,0.003,0.001378,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,stainless steel,440,280,,true,,,,,,2,,,,,0.4375,,,,3,,,1008,,,,,115,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,2205 Duplex (M) Drill,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,6.6087,0.005512,,,,,,0.003,0.002756,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.4375,,,,3,,,1199,,,,,137,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,2205 Duplex (M) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,2.315,0.002756,,,,,,0.003,0.001378,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.4375,,,,3,,,840,,,,,96,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Gray Iron (K) Drill,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,14.2072,0.006614,,,,,,0.003,0.003307,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.4375,,,,3,,,2148,,,,,246,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Gray Iron (K) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,4.9739,0.003307,,,,,,0.003,0.001654,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.4375,,,,3,,,1504,,,,,172,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Ductile Iron (K) Drill,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,11.1647,0.006614,,,,,,0.003,0.003307,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,cast iron,320,160,,true,,,,,,2,,,,,0.4375,,,,3,,,1688,,,,,193,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Ductile Iron (K) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,3.909,0.003307,,,,,,0.003,0.001654,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,cast iron,320,160,,true,,,,,,2,,,,,0.4375,,,,3,,,1182,,,,,135,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Ti-6Al-4V (S) Drill,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,3.1452,0.003661,,,,,,0.003,0.001831,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,titanium,400,200,,true,,,,,,2,,,,,0.4375,,,,3,,,859,,,,,98,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Ti-6Al-4V (S) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,1.1021,0.001831,,,,,,0.003,0.000915,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,titanium,400,200,,true,,,,,,2,,,,,0.4375,,,,3,,,602,,,,,69,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Inconel/Nickel (S) Drill,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,1.5744,0.003661,,,,,,0.003,0.001831,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,titanium,450,250,,true,,,,,,2,,,,,0.4375,,,,3,,,430,,,,,49,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
1,Inconel/Nickel (S) Peck,drill,.437 ,0.4375,7,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,7.0504,,,,,,,,,,,,,,,,,,3.2,false,,,,true,,,7,flood,no,,,,,,,,,,,,,7,,,0.551,0.001831,,,,,,0.003,0.000915,2.35731,,,,1.69347,0.00215517,,,3,,,,,,3.8504,,,,,,,,,,,,,,,7,false,,,,false,ti coated,,,,,,,2,,,,4,,,,,titanium,450,250,,true,,,,,,2,,,,,0.4375,,,,3,,,301,,,,,34,,,,,,,,,180,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
